# address to addend+multiplicative factor LUT
# maps 11 bits to 18 bits
# 18 bits = (addend<<10) + multiplier)
# addend is signed 8 bits, multiplier is 10 bits
# anything after # is ignored with the exception of the header
# the header is first valid line starting with #<header> versionStr nrBitsAddress nrBitsData </header>
#<header> v1 11 18 </header>
0 512 	 1 512 0 	 0 0 0   # compresses ieta bin 0, pt 0
218 703 	 1.36657 703 0 	 65 59 71 
219 674 	 1.31309 674 0 	 80 72 88 
220 653 	 1.27429 653 0 	 101 89 113 
221 627 	 1.22264 627 0 	 135 114 155 
222 613 	 1.19598 613 0 	 205 156 254 
223 611 	 1.19304 611 0 	 255 255 255 
224 512 	 1 512 0 	 0 0 0   # compresses ieta bin 14, pt 0
225 779 	 1.51339 779 0 	 17 15 19 
226 736 	 1.41701 736 0 	 20 20 20 
227 714 	 1.37 714 0 	 21 21 21 
228 688 	 1.32484 688 0 	 24 22 25 
229 646 	 1.25667 646 0 	 28 26 29 
230 621 	 1.20833 621 0 	 32 30 34 
231 604 	 1.17434 604 0 	 38 35 40 
232 601 	 1.16172 601 0 	 45 41 48 
233 591 	 1.15149 591 0 	 54 49 58 
234 577 	 1.11991 577 0 	 65 59 71 
235 565 	 1.10285 565 0 	 80 72 88 
236 559 	 1.08927 559 0 	 101 89 113 
237 542 	 1.0552 542 0 	 135 114 155 
238 535 	 1.04416 535 0 	 205 156 254 
239 534 	 1.04139 534 0 	 255 255 255 
240 512 	 1 512 0 	 0 0 0   # compresses ieta bin 15, pt 0
241 823 	 1.59612 823 0 	 17 15 19 
242 774 	 1.50171 774 0 	 20 20 20 
243 738 	 1.43144 738 0 	 21 21 21 
244 709 	 1.37066 709 0 	 24 22 25 
245 663 	 1.28188 663 0 	 28 26 29 
246 629 	 1.22472 629 0 	 32 30 34 
247 610 	 1.18098 610 0 	 38 35 40 
248 601 	 1.16436 601 0 	 45 41 48 
249 590 	 1.14727 590 0 	 54 49 58 
250 570 	 1.10557 570 0 	 65 59 71 
251 558 	 1.08873 558 0 	 80 72 88 
252 552 	 1.07507 552 0 	 101 89 113 
253 534 	 1.03935 534 0 	 135 114 155 
254 529 	 1.03127 529 0 	 205 156 254 
255 527 	 1.02757 527 0 	 255 255 255 
